id;ad_id;match_cites_parrot;match_common_parrot;mapping_match
269;535556_us;0;1;"10;125;181;271;272;278;297;298;308"
270;535555_us;0;1;"10;125;181;271;272;278;297;298;308"
271;535554_us;0;1;"10;125;181;271;272;278;297;298;308"
272;535553_us;0;1;"10;125;181;271;272;278;297;298;308"
273;535552_us;0;1;"10;125;181;271;272;278;297;298;308"
274;535551_us;0;1;"10;125;181;271;272;278;297;298;308"
275;535549_us;0;1;"10;125;181;271;272;278;297;298;308"
276;535548_us;0;1;"10;125;181;271;272;278;297;298;308"
277;535546_us;0;1;"10;125;181;271;272;278;297;298;308"
278;535545_us;0;1;"10;125;181;271;272;278;297;298;308"
279;535544_us;0;1;"10;125;181;271;272;278;297;298;308"
280;535543_us;0;1;"10;125;181;271;272;278;297;298;308"
281;535542_us;0;1;"10;125;181;271;272;278;297;298;308"
282;535541_us;0;1;"10;125;181;271;272;278;297;298;308"
283;535540_us;0;1;"10;125;181;271;272;278;297;298;308"
284;535539_us;0;1;"10;125;181;271;272;278;297;298;308"
285;535537_us;0;1;"10;125;181;271;272;278;297;298;308"
286;535536_us;0;1;"10;125;181;271;272;278;297;298;308"
287;535535_us;0;1;"10;125;181;271;272;278;297;298;308"
288;535534_us;0;1;"10;125;181;271;272;278;297;298;308"
289;535533_us;0;1;"10;125;181;271;272;278;297;298;308"
290;535526_us;0;1;"10;181;278;308"
291;535523_us;0;1;"10;125;181;271;272;278;298;308"
292;535521_us;0;1;"10;125;271;272;278;298;308"
293;535418_us;0;1;"10;83;133;135;165;175;278;308;332;381"
294;535288_us;0;1;"135;165;381"
295;535194_us;0;1;"10;115;125;271;272;278;298;308;336"
296;535109_us;0;1;"135;329"
297;535108_us;0;1;"135;165;381"
298;535107_us;0;1;"10;135;165;278;308;381"
299;534999_us;0;1;"10;135;165;278;308;381"
300;534974_us;0;1;135
301;534973_us;0;1;"10;135;278;308"
302;534929_us;1;1;"1;10;125;181;270;271;272;278;298;308"
303;534780_us;0;1;"10;135;165;181;278;308"
304;534686_us;0;1;135
305;534685_us;0;1;"10;135;165;278;308;381"
306;534329_us;0;1;181
307;534208_us;0;1;"10;125;271;272;278;298;308"
308;534147_us;0;1;"135;165;181"
309;534146_us;0;1;"10;115;135;165;278;336"
310;534145_us;0;1;"10;115;135;165;278;381"
311;534144_us;0;1;"10;115;135;165;278;381"
312;534143_us;0;1;"10;83;115;135;165;181;278;336;381"
313;534142_us;0;1;"10;115;135;165;278;381"
314;534141_us;0;1;"10;83;115;135;165;278;381"
315;534140_us;0;1;"10;115;135;165;278;381"
316;533779_us;0;1;"10;125;271;272;278;298;308"
317;533759_us;0;1;"10;125;271;272;278;298;308"
318;533746_us;0;1;135
319;533745_us;0;1;"135;165;381"
320;533744_us;0;1;"10;115;125;271;272;278;298"
321;533210_us;0;1;"10;125;271;272;278;298;308"
322;532372_us;0;1;"135;165;381"
323;531825_us;0;1;"8;10;105;125;135;271;272;278;298;308;336;355"
324;531824_us;0;1;"125;135;165;271;272;298;336;355;381"
325;531823_us;0;1;"125;135;181;271;272;298;336;355"
326;531732_us;0;1;332
327;531562_us;0;0;
328;531519_us;0;1;"8;10;128;133;135;272;278;308;355"
329;531417_us;0;1;"8;10;105;115;125;128;135;165;171;200;223;271;272;278;298;308;355;381;397"
330;531408_us;0;1;"10;83;115;135;165;278;381"
